no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
1,31,บุรีรัมย์,กระสัง,02919,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกันทรารมย์ ตำบลกันทรารมย์,1556,731,677,54,23,21,2,21,2,2,2,,,,,,,,,,,
2,31,บุรีรัมย์,กระสัง,02916,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านก้านเหลือง ตำบลชุมแสง,732,139,133,6,3,2,0,2,๐,3,0,,,,,,,,,,,
3,31,บุรีรัมย์,กระสัง,02908,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจอม ตำบลสองชั้น,858,376,364,12,6,6,0,0,0,6,0,,,,,,,,,,,
4,31,บุรีรัมย์,กระสัง,02910,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตะครองใต้ ตำบลสูงเนิน,597,598,575,23,23,20,3,3,0,23,0,,,,,,,,,,,
5,31,บุรีรัมย์,กระสัง,02905,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลำดวน ตำบลลำดวน,1056,951,932,19,12,12,0,12,0,12,0,,,,,,,,,,,
6,31,บุรีรัมย์,กระสัง,02920,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศรีภูมิ ตำบลศรีภูมิ,669,457,447,10,8,8,0,8,0,8,0,,,,,,,,,,,
7,31,บุรีรัมย์,กระสัง,02904,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสวนใหม่ ตำบลกระสัง,224,88,85,3,1,1,0,0,0,1,0,,,,,,,,,,,
8,31,บุรีรัมย์,กระสัง,02914,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสวายสอ ตำบลเมืองไผ่,427,399,391,8,6,6,0,6,0,6,0,,,,,,,,,,,
9,31,บุรีรัมย์,กระสัง,02907,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสองชั้น ตำบลสองชั้น,1378,1094,1058,36,5,5,0,5,0,5,0,,,,,,,,,,,
10,31,บุรีรัมย์,กระสัง,02909,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสูงเนิน ตำบลสูงเนิน,721,684,650,34,8,8,0,8,0,8,0,,,,,,,,,,,
11,31,บุรีรัมย์,กระสัง,02906,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองพลวง ตำบลลำดวน,949,833,806,27,27,27,0,27,0,27,0,,,,,,,,,,,
12,31,บุรีรัมย์,กระสัง,02911,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองเต็ง ตำบลหนองเต็ง,1083,973,944,29,27,27,0,27,0,27,0,,,,,,,,,,,
13,31,บุรีรัมย์,กระสัง,02912,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหว้าใต้ ตำบลหนองเต็ง,965,677,670,7,7,7,0,7,0,7,0,,,,,,,,,,,
14,31,บุรีรัมย์,กระสัง,02918,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยสำราญ ตำบลห้วยสำราญ,1090,790,743,47,20,20,0,20,0,20,0,,,,,,,,,,,
15,31,บุรีรัมย์,กระสัง,02917,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเพชร ตำบลบ้านปรือ,1477,1462,1407,55,43,43,0,43,0,43,0,,,,,,,,,,,
16,31,บุรีรัมย์,กระสัง,02913,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเมืองไผ่ ตำบลเมืองไผ่,295,28,28,0,0,0,0,0,0,0,0,,,,,,,,,,,
17,31,บุรีรัมย์,กระสัง,02915,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไม้แดง ตำบลชุมแสง,508,312,299,13,4,4,0,4,0,4,0,,,,,,,,,,,
18,31,บุรีรัมย์,คูเมือง,02902,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกรูด ตำบลตูมใหญ่,1112,148,113,35,4,4,0,4,0,4,0,,,,,,,,,,,
19,31,บุรีรัมย์,คูเมือง,02894,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปะเคียบ ตำบลปะเคียบ,934,836,835,1,1,1,0,1,0,1,0,,,,,,,,,,,
20,31,บุรีรัมย์,คูเมือง,02903,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองขมาร ตำบลหนองขมาร,1205,45,33,12,1,1,0,1,0,1,0,,,,,,,,,,,
21,31,บุรีรัมย์,คูเมือง,02898,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหินเหล็กไฟ ตำบลหินเหล็กไฟ,801,469,441,28,28,28,0,28,0,28,0,,,,,,,,,,,
22,31,บุรีรัมย์,คูเมือง,02896,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแพ ตำบลบ้านแพ,955,83,30,53,5,5,0,5,0,5,0,,,,,,,,,,,
23,31,บุรีรัมย์,คูเมือง,02900,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกก่อง ตำบลหินเหล็กไฟ,949,400,380,20,20,20,0,20,0,20,0,,,,,,,,,,,
24,31,บุรีรัมย์,คูเมือง,02895,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโจด ตำบลปะเคียบ,943,86,69,17,1,1,0,1,0,1,0,,,,,,,,,,,
25,31,บุรีรัมย์,คูเมือง,02899,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนมาลัย ตำบลหินเหล็กไฟ,1256,333,296,37,22,22,0,22,0,22,0,,,,,,,,,,,
26,31,บุรีรัมย์,คูเมือง,02897,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนยานาง ตำบลพรสำราญ,898,102,84,18,4,4,0,4,0,4,0,,,,,,,,,,,
27,31,บุรีรัมย์,คูเมือง,02901,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนเจริญ ตำบลตูมใหญ่,891,87,51,36,3,3,0,3,0,3,0,,,,,,,,,,,
28,31,บุรีรัมย์,ชำนิ,03061,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปราสาทพร ตำบลหนองปล่อง,1172,1023,117,,6,6,0,6,0,6,0,,,,,,,,,,,
29,31,บุรีรัมย์,ชำนิ,03063,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองตาเปล่ง ตำบลช่อผกา,1100,1090,1075,,15,15,0,0,0,15,0,,,,,,,,,,,
30,31,บุรีรัมย์,ชำนิ,03064,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหว้า ตำบลละลวด,1229,1120,961,,47,47,0,0,0,47,0,,,,,,,,,,,
31,31,บุรีรัมย์,ชำนิ,03062,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเมืองยาง ตำบลเมืองยาง,1354,21,20,,1,1,0,0,0,1,0,,,,,,,,,,,
32,31,บุรีรัมย์,ชำนิ,03065,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสนวน ตำบลโคกสนวน,662,2,2,,0,0,0,0,0,0,0,,,,,,,,,,,
33,31,บุรีรัมย์,ชำนิ,47512,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองปล่อง,,0,,,,,,,,,,,,,,,,,,,,
34,31,บุรีรัมย์,นางรอง,77505,2569,คลินิกหมอครอบครัวนางรอง-องค์การบริหารส่วนตำบลนางรอง,567,551,533,,19,19,0,0,0,19,0,,,,,,,,,,,
35,31,บุรีรัมย์,นางรอง,77506,2569,คลินิกหมอครอบครัวหนองตาหมู่,556,556,553,,3,3,0,0,0,3,0,,,,,,,,,,,
36,31,บุรีรัมย์,นางรอง,02928,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านก้านเหลือง ตำบลก้านเหลือง,965,35,35,,0,,,,,,,,,,,,,,,,,
37,31,บุรีรัมย์,นางรอง,02934,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านชุมแสง ตำบลทุ่งแสงทอง,624,59,59,,0,0,0,0,0,0,0,,,,,,,,,,,
38,31,บุรีรัมย์,นางรอง,02923,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งโพธิ์ ตำบลชุมแสง,996,12,6,,6,6,0,6,0,6,0,,,,,,,,,,,
39,31,บุรีรัมย์,นางรอง,02926,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผักหวาน ตำบลถนนหัก,2441,41,37,,0,,,,,,,,,,,,,,,,,
40,31,บุรีรัมย์,นางรอง,02929,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสิงห์ ตำบลบ้านสิงห์,1084,397,397,,0,0,0,0,0,0,0,,,,,,,,,,,
41,31,บุรีรัมย์,นางรอง,02921,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองกก ตำบลสะเดา,1274,911,866,,45,45,0,0,0,45,0,,,,,,,,,,,
42,31,บุรีรัมย์,นางรอง,14275,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองตาไก้ ตำบลหนองกง,556,80,80,,0,,,,,,,,,,,,,,,,,
43,31,บุรีรัมย์,นางรอง,02924,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองทองลิ่ม ตำบลหนองโบสถ์,504,404,392,,12,12,0,12,0,12,,,,,,,,,,,,
44,31,บุรีรัมย์,นางรอง,13837,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองยาง ตำบลหนองโบสถ์,961,205,200,,6,6,0,6,0,6,0,,,,,,,,,,,
45,31,บุรีรัมย์,นางรอง,02932,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองยาง ตำบลหนองยายพิมพ์,1081,993,967,,26,,,,,,,,,,,,,,,,,
46,31,บุรีรัมย์,นางรอง,02927,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองไทร ตำบลหนองไทร,1210,643,595,,68,68,0,68,0,68,0,,,,,,,,,,,
47,31,บุรีรัมย์,นางรอง,02933,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวถนน ตำบลหัวถนน,893,69,62,,7,7,0,2,0,7,0,,,,,,,,,,,
48,31,บุรีรัมย์,นางรอง,02922,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขว้า ตำบลสะเดา,723,634,617,,17,16,1,17,0,17,0,,,,,,,,,,,
49,31,บุรีรัมย์,นางรอง,02931,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกยาง ตำบลทรัพย์พระยา,1354,1262,1262,,2,2,,,,,,,,,,,,,,,,
50,31,บุรีรัมย์,นางรอง,02925,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกศรีพัฒนา ตำบลหนองกง,745,1,1,,0,0,,,,,,,,,,,,,,,,
51,31,บุรีรัมย์,นางรอง,02930,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกแร่ ตำบลลำไทรโยง,1194,84,82,,2,2,,,,,,,,,,,,,,,,
52,31,บุรีรัมย์,นางรอง,02935,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองโสน ตำบลหนองโสน,1105,390,362,,28,28,,,,,,,,,,,,,,,,
53,31,บุรีรัมย์,นาโพธิ์,03033,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนกลาง ตำบลบ้านคู,1606,1256,1227,,,,,,,,,,,,,,,,,,,
54,31,บุรีรัมย์,นาโพธิ์,03034,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาเหล็ก ตำบลบ้านดู่,496,457,451,,,,,,,,,,,,,,,,,,,
55,31,บุรีรัมย์,นาโพธิ์,03032,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาโพธิ์ ตำบลนาโพธิ์,1554,73,70,,,,,,,,,,,,,,,,,,,
56,31,บุรีรัมย์,นาโพธิ์,15224,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบัว ตำบลดอนกอก,529,108,107,,,,,,,,,,,,,,,,,,,
57,31,บุรีรัมย์,นาโพธิ์,03036,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองแวง ตำบลดอนกอก,849,763,754,,,,,,,,,,,,,,,,,,,
58,31,บุรีรัมย์,นาโพธิ์,03035,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวช้าง ตำบลบ้านดู่,640,515,502,,,,,,,,,,,,,,,,,,,
59,31,บุรีรัมย์,บ้านกรวด,10216,2569,สถานบริการสาธารณสุขชุมชนบ้านสายตรี 16,184,9,9,,,,,,,,,,,,,,,,,,,
60,31,บุรีรัมย์,บ้านกรวด,02983,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบึงเจริญ ตำบลบึงเจริญ,512,0,,,,,,,,,,,,,,,,,,,,
61,31,บุรีรัมย์,บ้านกรวด,02982,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านละหานทรายใหม่ ตำบลหินลาด,1067,30,30,,,,,,,,,,,,,,,,,,,
62,31,บุรีรัมย์,บ้านกรวด,10217,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายตรี 4 ใต้ ตำบลบึงเจริญ,458,2,2,,,,,,,,,,,,,,,,,,,
63,31,บุรีรัมย์,บ้านกรวด,02980,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายตะกู ตำบลสายตะกู,807,1,1,,,,,,,,,,,,,,,,,,,
64,31,บุรีรัมย์,บ้านกรวด,02981,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายโท 12 ใต้ ตำบลสายตะกู,430,6,6,,,,,,,,,,,,,,,,,,,
65,31,บุรีรัมย์,บ้านกรวด,02984,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายโท 5 ใต้ ตำบลจันทบเพชร,1209,13,13,,,,,,,,,,,,,,,,,,,
