no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
1,36,ชัยภูมิ,คอนสวรรค์,,2569,ศูนย์พัฒนาคุณภาพชีวิต และส่งเสริมอาชีพผู้สูงอายุ เทศบาลตำบลคอนสวรรค์,977,977,971,6,6,6,0,0,0,6,0,,,,,,,,,,,
2,36,ชัยภูมิ,คอนสวรรค์,03957,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคอนสวรรค์,919,919,915,4,0,915,0,915,0,0,0,,,,,,,,,,,
3,36,ชัยภูมิ,คอนสวรรค์,03959,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลช่องสามหมอ,740,461,427,34,34,34,0,740,0,34,0,,,,,,,,,,,
4,36,ชัยภูมิ,คอนสวรรค์,03965,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาฮี,1144,1144,1132,12,12,12,0,12,0,12,0,,,,,,,,,,,
5,36,ชัยภูมิ,คอนสวรรค์,03964,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านฝาย,1171,83,82,10,5,10,0,10,0,10,0,,,,,,,,,,,
6,36,ชัยภูมิ,คอนสวรรค์,03963,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกมั่งงอย,1085,1037,1028,9,9,9,0,9,0,0,0,,,,,,,,,,,
7,36,ชัยภูมิ,คอนสวรรค์,03962,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโสก,1381,654,642,16,3,3,0,0,0,0,0,,,,,,,,,,,
8,36,ชัยภูมิ,คอนสวรรค์,03958,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลยางหวาย,1156,427,417,27,10,10,0,0,0,0,0,,,,,,,,,,,
9,36,ชัยภูมิ,คอนสวรรค์,03961,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยไร่,1280,572,541,77,10,10,0,0,0,0,0,,,,,,,,,,,
10,36,ชัยภูมิ,คอนสวรรค์,03991,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนสะอาด,915,675,617,69,58,57,2,57,2,2,0,,,,,,,,,,,
11,36,ชัยภูมิ,คอนสาร,04079,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลดงบัง,1262,896,890,6,6,6,0,6,0,6,0,,,,,,,,,,,
