no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3
1,30,นครราชสีมา,ขามทะเลสอ,99900,2569,ศูนย์สุขภาพชุมชนตำบลขามทะเลสอ,,0,,,,,,,,,,,,
2,30,นครราชสีมา,ขามทะเลสอ,13834,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกุ่มพะยา,557,200,195,5,5,5,0,5,0,5,0,,,
3,30,นครราชสีมา,ขามทะเลสอ,02787,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบึงอ้อ,540,275,264,11,11,11,0,11,0,11,0,,,
4,30,นครราชสีมา,ขามทะเลสอ,02786,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองตะครอง,292,79,74,5,5,5,,,,,,,,
5,30,นครราชสีมา,ขามทะเลสอ,02783,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลพันดุง,571,501,485,16,16,16,0,16,0,16,0,,,
6,30,นครราชสีมา,ขามทะเลสอ,02785,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองสรวง,954,192,188,4,4,4,0,4,0,4,0,,,
7,30,นครราชสีมา,ขามทะเลสอ,02784,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกแขวน,328,232,215,17,17,,,,,,,,,
8,30,นครราชสีมา,ขามทะเลสอ,02782,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโป่งแดง,1554,437,431,6,6,6,0,6,0,6,0,,,
9,30,นครราชสีมา,ขามสะแกแสง,23563,2569,ศูนย์สุขภาพชุมชนขามสะแกแสง,,0,,,,,,,,,,,,
10,30,นครราชสีมา,ขามสะแกแสง,02668,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลชีวึก,1134,209,207,2,,,,,,,,,,
11,30,นครราชสีมา,ขามสะแกแสง,02667,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วย,1215,1044,1033,11,11,,,,,,,,,
12,30,นครราชสีมา,ขามสะแกแสง,02670,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองหัวฟาน,1555,815,787,28,37,37,0,37,0,37,0,,,
13,30,นครราชสีมา,ขามสะแกแสง,02806,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองไข่น้ำ,1004,584,564,26,26,,,,,,,,,
