no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3
1,32,สุรินทร์,กาบเชิง,03169,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคูตัน,550,15,12,3,,,,,,,,,,
2,32,สุรินทร์,กาบเชิง,03170,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลด่าน,1190,0,,,,,,,,,,,,
3,32,สุรินทร์,กาบเชิง,03175,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตะเคียน,686,104,100,4,,,,,,,,,,
4,32,สุรินทร์,กาบเชิง,03168,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปราสาทเบง ตำบลกาบเชิง,769,144,110,34,,,,,,,,,,
5,32,สุรินทร์,กาบเชิง,13858,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสกล ตำบลตะเคียน,295,36,27,9,,,,,,,,,,
6,32,สุรินทร์,กาบเชิง,03171,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเกษตรถาวร ตำบลด่าน,1028,411,387,24,,,,,,,,,,
7,32,สุรินทร์,กาบเชิง,13857,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสะอาด ตำบลคูตัน,470,0,,,,,,,,,,,,
8,32,สุรินทร์,กาบเชิง,03174,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนสวรรค์ ตำบลโคกตะเคียน,1854,42,35,7,,,,,,,,,,
9,32,สุรินทร์,กาบเชิง,03173,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสระทอง ตำบลแนงมุด,917,74,67,7,7,6,1,6,1,7,1,,,
10,32,สุรินทร์,กาบเชิง,03172,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลแนงมุด,1100,96,91,5,,,,,,,,,,
11,32,สุรินทร์,จอมพระ,03141,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกระหาด,878,13,11,2,2,2,0,2,0,2,0,,,
12,32,สุรินทร์,จอมพระ,03147,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลชุมแสง,807,599,570,29,29,29,0,29,0,29,0,,,
13,32,สุรินทร์,จอมพระ,03143,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบุแกรง,1045,15,8,7,7,7,0,7,0,7,0,,,
14,32,สุรินทร์,จอมพระ,03139,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงเค็ง ตำบลเมืองลึง,824,2,2,0,0,0,0,0,0,0,0,,,
15,32,สุรินทร์,จอมพระ,13852,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผือ,651,492,480,12,12,12,0,12,0,0,0,,,
16,32,สุรินทร์,จอมพระ,03145,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านม่วง ตำบลบ้านผือ,472,9,7,2,9,9,0,9,0,9,0,,,
17,32,สุรินทร์,จอมพระ,03142,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านว่าน ตำบลบุแกรง,674,2,2,0,0,0,0,0,0,0,0,,,
18,32,สุรินทร์,จอมพระ,03146,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลลุ่มระวี,872,300,287,13,13,13,0,13,0,13,0,,,
19,32,สุรินทร์,จอมพระ,03144,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองสนิท,1381,382,372,10,10,10,0,10,0,10,0,,,
20,32,สุรินทร์,จอมพระ,03148,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเป็นสุข,1109,837,822,15,12,12,0,0,0,12,0,,,
21,32,สุรินทร์,จอมพระ,03140,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเมืองลีง,1435,44,43,1,1,1,0,1,0,1,0,,,
22,32,สุรินทร์,ชุมพลบุรี,03121,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกระเบื้อง,1092,33,31,2,2,2,0,2,0,2,0,,,
23,32,สุรินทร์,ชุมพลบุรี,03112,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลนาหนองไผ่,902,137,130,7,,,,,,,,,,
24,32,สุรินทร์,ชุมพลบุรี,13850,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกระเบื้องเมืองใหม่ ตำบลนาหนองไผ่,975,165,163,2,2,2,0,2,0,2,0,,,
25,32,สุรินทร์,ชุมพลบุรี,03118,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยางบ่ออี ตำบลเมืองบ้ว,755,637,,,,,,,,,,,,
26,32,สุรินทร์,ชุมพลบุรี,03111,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสวนหม่อน ตำบลชุมพลบุรี,887,558,553,5,5,5,0,5,0,5,0,,,
27,32,สุรินทร์,ชุมพลบุรี,03119,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านอ้อ-ตลิ่งชัน ตำบลสระขุด,584,0,,,,,,,,,,,,
28,32,สุรินทร์,ชุมพลบุรี,03114,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพนม่วง ตำบลไพรขลา,476,32,31,1,,,,,,,,,,
29,32,สุรินทร์,ชุมพลบุรี,03116,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลยะวึก,1565,110,110,23,23,,,,,,,,,
30,32,สุรินทร์,ชุมพลบุรี,03115,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลศรีณรงค์,1464,658,631,56,56,56,0,56,0,50,0,,,
31,32,สุรินทร์,ชุมพลบุรี,03120,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสระขุด,505,504,497,7,7,7,0,0,0,7,0,,,
32,32,สุรินทร์,ชุมพลบุรี,03122,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองเรือ,965,41,39,2,,,,,,,,,,
33,32,สุรินทร์,ชุมพลบุรี,03117,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเมืองบัว,915,15,14,1,,,,,,,,,,
34,32,สุรินทร์,ชุมพลบุรี,03113,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลไพรขลา,727,282,258,53,,,,,,,,,,
35,32,สุรินทร์,ท่าตูม,,2569,ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุตำบลเมืองแก,0,0,0,0,0,0,0,0,0,0,0,,,
36,32,สุรินทร์,ท่าตูม,03123,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกระโพ,1029,781,727,54,54,54,0,54,0,54,0,,,
37,32,สุรินทร์,ท่าตูม,03138,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งกุลา,992,827,780,47,47,47,0,47,0,47,0,,,
38,32,สุรินทร์,ท่าตูม,03131,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบะ,784,655,602,53,53,๕๓,๐,๕๓,0,๐,๐,,,
39,32,สุรินทร์,ท่าตูม,03136,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบัวโคก,1075,846,813,33,33,33,0,33,0,33,0,,,
40,32,สุรินทร์,ท่าตูม,03124,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตระมุง ตำบลกระโพ,849,775,710,65,65,60,5,65,0,5,0,,,
41,32,สุรินทร์,ท่าตูม,03125,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตากลาง ตำบลกระโพ,860,729,696,33,33,33,0,0,0,33,0,,,
42,32,สุรินทร์,ท่าตูม,03132,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปรีง ตำบลบะ,698,540,515,25,25,25,0,25,0,25,0,,,
43,32,สุรินทร์,ท่าตูม,03134,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านม่วงมูล ตำบลหนองบัว,595,531,506,25,25,25,0,0,0,25,0,,,
44,32,สุรินทร์,ท่าตูม,03129,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสะเอิง,962,839,786,53,53,52,1,53,0,53,0,,,
45,32,สุรินทร์,ท่าตูม,03126,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสาโรช,1093,826,770,56,56,56,0,0,0,56,0,,,
46,32,สุรินทร์,ท่าตูม,03130,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองม่วง ตำบลเมืองแก,707,428,395,33,33,33,0,33,0,33,0,,,
47,32,สุรินทร์,ท่าตูม,03135,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโสมน ตำบลบัวโคก,786,613,593,20,20,20,0,0,0,20,0,,,
48,32,สุรินทร์,ท่าตูม,03127,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลพรมเทพ,641,495,466,29,29,29,0,29,0,29,0,,,
49,32,สุรินทร์,ท่าตูม,03213,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัว,777,682,661,21,21,21,0,0,0,0,0,,,
50,32,สุรินทร์,ท่าตูม,03137,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองเมธี,1283,1038,1005,33,33,33,0,33,0,33,0,,,
51,32,สุรินทร์,ท่าตูม,13851,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเมืองแก,1286,929,905,24,24,24,0,24,0,24,0,,,
52,32,สุรินทร์,ท่าตูม,03128,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโพนครก,847,638,603,35,35,33,2,33,2,35,2,,,
53,32,สุรินทร์,บัวเชด,03255,2569,โรงพยาบาลส่งเสริมสุขภาพตำบล ตำบลจรัส,477,2,2,0,2,2,0,2,0,0,0,,,
54,32,สุรินทร์,บัวเชด,03257,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตาวัง,450,16,15,1,1,1,0,1,0,1,0,,,
55,32,สุรินทร์,บัวเชด,03256,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาสนวน,568,2,2,0,0,,,,,,,,,
56,32,สุรินทร์,บัวเชด,13865,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านรุน ตำบลอาโพน,258,258,257,1,1,1,0,1,0,1,0,,,
57,32,สุรินทร์,บัวเชด,53791,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสนพัฒนา,526,121,119,2,2,2,0,0,0,0,0,,,
58,32,สุรินทร์,บัวเชด,03258,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองโจงโลง ตำบลตาวัง,707,19,19,0,1,1,0,1,0,1,0,,,
59,32,สุรินทร์,บัวเชด,03254,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสะเดา,1034,256,256,0,0,,,,,,,,,
60,32,สุรินทร์,บัวเชด,03260,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสำเภาลูน,975,206,201,5,5,5,0,5,0,5,0,,,
61,32,สุรินทร์,บัวเชด,03259,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลอาโพน,966,0,966,1,1,,1,1,,1,1,,,
62,32,สุรินทร์,ปราสาท,77455,2569,คลินิกหมอครอบครัวโรงพยาบาลปราสาท,2456,1007,973,34,34,34,0,0,0,34,0,,,
63,32,สุรินทร์,ปราสาท,53360,2569,ศูนย์บริการสาธารณสุข องค์การบริหารส่วนตำบลกังแอน,2457,412,401,11,,,,,,,,,,
64,32,สุรินทร์,ปราสาท,03165,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกันตรวจระมวล,1048,695,656,39,39,39,0,39,0,39,0,,,
65,32,สุรินทร์,ปราสาท,03163,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตานี,1237,847,809,38,38,38,0,38,0,38,0,,,
66,32,สุรินทร์,ปราสาท,03153,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตาเบา,2004,898,828,70,70,70,0,70,0,70,0,,,
67,32,สุรินทร์,ปราสาท,03149,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลทมอ,993,666,653,13,17,17,0,17,0,17,0,,,
68,32,สุรินทร์,ปราสาท,03152,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งมน,1128,900,852,48,48,48,0,48,0,48,0,,,
