no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,,,,
27,30,นครราชสีมา,ครบุรี,,2569,ศูนย์พัฒนาคุณภาพชีวิตผู้สูงอายุและผู้พิการตำบลจระเข้หิน,,0,,,,,,,,,,,,,,,,,,,,,,,
28,30,นครราชสีมา,ครบุรี,,2569,ศูนย์พัฒนาคุณภาพชีวิตฟื้นฟูดูแลผู้สูงอายุ ผู้พิการและบุคคลอื่นที่มีภาวะพึ่งพิง ตำบลสระว่านพระยา,,0,,,,,,,,,,,,,,,,,,,,,,,
123,30,นครราชสีมา,ปักธงชัย,,2569,ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเทศบาลตำบลลำนางแก้ว,,0,,,,,,,,,,,,,,,,,,,,,,,
147,30,นครราชสีมา,ปากช่อง,,2569,ศูนย์สุขภาพชุมชนเทศบาลเมืองปากช่อง3(หนองสาหร่าย),1719,178,166,12,,,,,,,,,,,,,,,,,,,,,
282,30,นครราชสีมา,เมืองนครราชสีมา,,2569,ศูนย์พัฒนาคุณภาพชีวิตผู้สูงอายุและส่งสริมอาชีพผู้สูงอายุ ผู้พิการฯ ทต.จอหอ,,0,,,,,,,,,,,,,,,,,,,,,,,
283,30,นครราชสีมา,เมืองนครราชสีมา,,2569,ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุ องค์การบริหารส่วนตำบลหนองบัวศาลา,,0,,,,,,,,,,,,,,,,,,,,,,,
311,30,นครราชสีมา,เมืองนครราชสีมา,,2569,ศูนย์บริการสาธารณสุข 2 (ทุ่งสว่าง) เทศบาลนครนครราชสีมา,288,66,54,12,,,,,,,,,,,,,,,,,,,,,
312,30,นครราชสีมา,เมืองนครราชสีมา,,2569,ศูนย์บริการสาธารณสุข 3 (สวนพริกไทย) เทศบาลนครนครราชสีมา,,0,,,,,,,,,,,,,,,,,,,,,,,
313,30,นครราชสีมา,เมืองนครราชสีมา,,2569,ศูนย์บริการสาธารณสุข 4 (การเคหะ) เทศบาลนครนครราชสีมา,9,0,,,,,,,,,,,,,,,,,,,,,,,
314,30,นครราชสีมา,เมืองนครราชสีมา,,2569,ศูนย์บริการสาธารณสุข 6 (วัดศาลาทอง) เทศบาลนครนครราชสีมา,261,0,,,,,,,,,,,,,,,,,,,,,,,
316,30,นครราชสีมา,เมืองนครราชสีมา,,2569,ศูนย์บริการสาธารณสุขเทศบาลนคร นครราชสีมา (เพาะชำ),,0,,,,,,,,,,,,,,,,,,,,,,,
332,30,นครราชสีมา,เสิงสาง,,2569,ศูนย์พัฒนาคุณภาพชีวิต และส่งเสริมอาชีพ ผู้สูงอายุ ผู้พิการ เทศบาลตำบลเสิงสาง,,0,,,,,,,,,,,,,,,,,,,,,,,
